Time,Diversity_flag,Count
"8 30th 2017, 22:30:00.000",_snort_suricata,866
"8 31st 2017, 22:00:00.000",_suricata,"14,688"
"8 31st 2017, 22:00:00.000",_snort,"10,730"
"8 31st 2017, 22:00:00.000",_snort_suricata,854
"9 1st 2017, 22:00:00.000",_suricata,"14,683"
"9 1st 2017, 22:00:00.000",_snort,"11,934"
"9 1st 2017, 22:00:00.000",_snort_suricata,910
"9 5th 2017, 22:30:00.000",_suricata,"14,825"
"9 5th 2017, 22:30:00.000",_snort,"12,557"
"9 5th 2017, 22:30:00.000",_snort_suricata,899
"9 6th 2017, 22:00:00.000",_suricata,"14,938"
"9 6th 2017, 22:00:00.000",_snort,"10,407"
"9 6th 2017, 22:00:00.000",_snort_suricata,887
"9 8th 2017, 14:30:00.000",_suricata,"14,891"
"9 8th 2017, 14:30:00.000",_snort,"11,008"
"9 8th 2017, 14:30:00.000",_snort_suricata,886
"9 8th 2017, 22:00:00.000",_suricata,"14,777"
"9 8th 2017, 22:00:00.000",_snort,"9,211"
"9 8th 2017, 22:00:00.000",_snort_suricata,885
"9 8th 2017, 14:30:00.000",_suricata,"14,891"
"9 8th 2017, 14:30:00.000",_snort,"11,008"
"9 8th 2017, 14:30:00.000",_snort_suricata,886
"9 8th 2017, 22:00:00.000",_suricata,"14,777"
"9 8th 2017, 22:00:00.000",_snort,"9,211"
"9 8th 2017, 22:00:00.000",_snort_suricata,885
"9 8th 2017, 14:30:00.000",_suricata,"14,891"
"9 8th 2017, 14:30:00.000",_snort,"11,008"
"9 8th 2017, 14:30:00.000",_snort_suricata,886
"9 8th 2017, 22:00:00.000",_suricata,"14,777"
"9 8th 2017, 22:00:00.000",_snort,"9,211"
"9 8th 2017, 22:00:00.000",_snort_suricata,885
"9 11th 2017, 23:00:00.000",_suricata,"14,849"
"9 11th 2017, 23:00:00.000",_snort,"9,186"
"9 11th 2017, 23:00:00.000",_snort_suricata,902
"9 12th 2017, 22:00:00.000",_suricata,"14,270"
"9 12th 2017, 22:00:00.000",_snort,"11,509"
"9 12th 2017, 22:00:00.000",_snort_suricata,907
"9 13th 2017, 22:30:00.000",_suricata,"13,721"
"9 13th 2017, 22:30:00.000",_snort,"11,526"
