Date_time,No.of Black_listed_IPs
2017-05-26_1015,21166
2017-05-26_1030,21166
2017-05-26_1045,21166
2017-05-26_1100,21166
2017-05-26_1115,21165
2017-05-26_1130,21165
2017-05-26_1145,21165
2017-05-26_1200,21165
2017-05-26_1215,21165
2017-05-26_1230,21165
2017-05-26_1245,21165
2017-05-26_1300,21165
2017-05-26_1315,21164
2017-05-26_1330,21164
2017-05-26_1345,21164
2017-05-26_1400,21163
2017-05-26_1415,21163
2017-05-26_1430,21163
2017-05-26_1445,21163
2017-05-26_1500,21163
2017-05-26_1515,21161
2017-05-26_1530,21161
2017-05-26_1545,21161
2017-05-26_1600,21161
2017-05-26_1615,21161
2017-05-26_1630,21161
2017-05-26_1645,21161
2017-05-26_1700,21456
2017-05-26_1715,21456
2017-05-26_1730,21456
2017-05-26_1745,20713
2017-05-26_1800,20713
2017-05-26_1815,20713
2017-05-26_1830,20713
2017-05-26_1845,20713
2017-05-26_1900,20713
2017-05-26_1915,20708
2017-05-26_1930,20708
2017-05-26_1945,20708
2017-05-26_2000,20708
2017-05-26_2015,20708
2017-05-26_2030,20708
2017-05-26_2045,20708
2017-05-26_2100,20708
2017-05-26_2115,20710
2017-05-26_2130,20710
2017-05-26_2145,20710
2017-05-26_2200,20710
2017-05-26_2215,20710
2017-05-26_2230,20710
2017-05-26_2245,20710
2017-05-26_2300,20710
2017-05-26_2315,20708
2017-05-26_2330,20708
2017-05-26_2345,20708
2017-05-27_0000,20708
2017-05-27_0015,20708
2017-05-27_0030,20708
2017-05-27_0045,20708
2017-05-27_0100,20708
2017-05-27_0115,20704
2017-05-27_0130,20704
2017-05-27_0145,20704
2017-05-27_0200,20704
2017-05-27_0215,20704
2017-05-27_0230,20704
2017-05-27_0245,20704
2017-05-27_0300,20703
2017-05-27_0315,20700
2017-05-27_0330,20700
2017-05-27_0345,20700
2017-05-27_0400,20700
2017-05-27_0415,20700
2017-05-27_0430,20700
2017-05-27_0445,20700
2017-05-27_0500,20700
2017-05-27_0515,20695
2017-05-27_0530,20695
2017-05-27_0545,20695
2017-05-27_0600,20695
2017-05-27_0615,20695
2017-05-27_0630,20695
2017-05-27_0645,20695
2017-05-27_0700,20695
2017-05-27_0715,20692
2017-05-27_0730,20692
2017-05-27_0745,20692
2017-05-27_0800,20692
2017-05-27_0815,20692
2017-05-27_0830,20692
2017-05-27_0845,20692
2017-05-27_0900,20692
2017-05-27_0915,20693
2017-05-27_0930,20693
2017-05-27_0945,20693
2017-05-27_1000,20693
2017-05-27_1015,20693
2017-05-27_1030,20693
2017-05-27_1045,20693
2017-05-27_1100,20693
2017-05-27_1115,20691
2017-05-27_1130,20691
2017-05-27_1145,20691
2017-05-27_1200,20691
2017-05-27_1215,20691
2017-05-27_1230,20691
2017-05-27_1245,20691
2017-05-27_1300,20691
2017-05-27_1315,20690
2017-05-27_1330,20690
2017-05-27_1345,20690
2017-05-27_1400,20690
2017-05-27_1415,20690
2017-05-27_1430,20690
2017-05-27_1445,20690
2017-05-27_1500,20690
2017-05-27_1515,20693
2017-05-27_1530,20693
2017-05-27_1545,20693
