Time,Diversity_flag,Count
"October 11th 2017, 17:00:00.000",_snort_suricata,890
"October 11th 2017, 22:00:00.000",_snort,"17,974"
"October 11th 2017, 22:00:00.000",_suricata,"14,843"
"October 11th 2017, 22:00:00.000",_snort_suricata,881
"October 12th 2017, 22:00:00.000",_snort,"17,918"
"October 12th 2017, 22:00:00.000",_suricata,"14,885"
"October 12th 2017, 22:00:00.000",_snort_suricata,879
"October 13th 2017, 22:00:00.000",_snort,"17,963"
"October 13th 2017, 22:00:00.000",_suricata,"14,989"
"October 13th 2017, 22:00:00.000",_snort_suricata,856
"October 14th 2017, 01:00:00.000",_suricata,"29,980"
"October 14th 2017, 01:00:00.000",_snort,"7,703"
"October 14th 2017, 01:00:00.000",_snort_suricata,"1,710"
"October 16th 2017, 22:30:00.000",_suricata,"15,109"
"October 16th 2017, 22:30:00.000",_snort,"3,837"
"October 16th 2017, 22:30:00.000",_snort_suricata,883
"October 17th 2017, 22:30:00.000",_suricata,"15,328"
"October 17th 2017, 22:30:00.000",_snort,"8,681"
"October 17th 2017, 22:30:00.000",_snort_suricata,861
"October 18th 2017, 23:00:00.000",_suricata,"15,307"
"October 18th 2017, 23:00:00.000",_snort,"8,634"
"October 18th 2017, 23:00:00.000",_snort_suricata,854
"October 19th 2017, 22:30:00.000",_suricata,"15,634"
"October 19th 2017, 22:30:00.000",_snort,"8,598"
"October 19th 2017, 22:30:00.000",_snort_suricata,802
"October 20th 2017, 22:00:00.000",_suricata,"15,513"
"October 20th 2017, 22:00:00.000",_snort,"11,386"
"October 20th 2017, 22:00:00.000",_snort_suricata,794
"October 23rd 2017, 22:30:00.000",_snort,"15,725"
"October 23rd 2017, 22:30:00.000",_suricata,"15,535"
"October 23rd 2017, 22:30:00.000",_snort_suricata,821
"October 24th 2017, 22:00:00.000",_suricata,"15,526"
"October 24th 2017, 22:00:00.000",_snort,"12,197"
"October 24th 2017, 22:00:00.000",_snort_suricata,766
"October 25th 2017, 22:30:00.000",_suricata,"15,669"
"October 25th 2017, 22:30:00.000",_snort,"14,699"
"October 25th 2017, 22:30:00.000",_snort_suricata,781
"October 26th 2017, 22:00:00.000",_snort,"16,498"
"October 26th 2017, 22:00:00.000",_suricata,"15,789"
"October 26th 2017, 22:00:00.000",_snort_suricata,798
"October 27th 2017, 22:00:00.000",_snort,"16,483"
"October 27th 2017, 22:00:00.000",_suricata,"15,700"
"October 27th 2017, 22:00:00.000",_snort_suricata,828
"October 27th 2017, 22:30:00.000",_snort,"16,494"
"October 27th 2017, 22:30:00.000",_suricata,"15,700"
"October 27th 2017, 22:30:00.000",_snort_suricata,828
"October 30th 2017, 21:30:00.000",_suricata,"15,770"
"October 30th 2017, 21:30:00.000",_snort,"9,812"
"October 30th 2017, 21:30:00.000",_snort_suricata,831
